iter	Passed	Remaining
0	17	1746
1	34	1694
2	50	1619
3	66	1590
4	71	1365
5	89	1407
6	104	1393
7	119	1375
8	132	1342
9	136	1230
10	153	1244
11	165	1213
12	177	1189
13	190	1167
14	195	1106
15	208	1092
16	224	1096
17	242	1103
18	256	1092
19	270	1082
20	283	1067
21	297	1054
22	311	1044
23	325	1029
24	338	1015
25	352	1003
26	366	989
27	378	973
28	429	1051
29	449	1047
30	481	1072
31	506	1075
32	520	1056
33	533	1035
34	547	1017
35	561	997
36	566	964
37	579	945
38	592	925
39	606	909
40	619	891
41	640	884
42	659	874
43	718	914
44	764	934
45	779	914
46	791	892
47	806	873
48	819	853
49	832	832
50	847	814
51	864	797
52	878	778
53	891	759
54	908	743
55	925	727
56	958	723
57	982	711
58	1011	702
59	1027	685
60	1043	667
61	1062	651
62	1255	737
63	1269	714
64	1284	691
65	1299	669
66	1316	648
67	1328	625
68	1341	602
69	1357	581
70	1371	560
71	1385	538
72	1401	518
73	1416	497
74	1429	476
75	1446	456
76	1461	436
77	1464	413
78	1479	393
79	1488	372
80	1505	353
81	1524	334
82	1532	313
83	1551	295
84	1564	276
85	1569	255
86	1584	236
87	1600	218
88	1617	199
89	1633	181
90	1638	162
91	1653	143
92	1670	125
93	1675	106
94	1691	89
95	1713	71
96	1727	53
97	1747	35
98	1760	17
99	1776	0
